No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5,Pre-christmas Level 3,Holiday period,After-christmas Level 5
1.240240683,2.326452894,0.184860132,0.01085773,0.223350705,0.456018142,0.427147229,0.435370136,0.095191013,1.057260638,0.839062302,0.004116959
1.210944457,2.335820036,0.178206205,0.004442824,0.173098929,0.481051468,0.496300505,0.364164263,0.1225422,1.102989148,0.73969994,0.014003958
1.462172104,1.953484005,0.195750119,0.004301798,0.22042454,0.456283461,0.454803968,0.410617684,0.118208419,1.022596337,0.827597192,0.012211871
1.393423907,2.248496943,0.178426915,0.028593119,0.094376006,0.495148049,0.494096974,0.404959574,0.127855049,0.685460508,1.247595569,0.000648264
1.021138958,2.553432568,0.177467951,0.005029745,0.113614724,0.527187063,0.435504999,0.399014469,0.100455434,1.018972041,1.02360972,0.01355521
1.603929364,1.846403417,0.199350591,0.003040595,0.222404233,0.438696612,0.475815283,0.438663433,0.082867614,1.120552742,0.817532781,0.010295036
1.441295068,2.250517646,0.155012749,0.005929196,0.24997035,0.436554401,0.538059205,0.375666644,0.109379148,1.095543609,0.77141885,0.015675214
1.090843511,2.654024048,0.153317509,0.022442607,0.252300178,0.441490888,0.441684246,0.441563593,0.106678456,1.09662398,0.739814718,0.102623168
1.420348983,2.096114481,0.178824895,0.015569997,0.168288336,0.462335718,0.508889828,0.395705487,0.115036055,0.980054898,0.909076455,0.000390279
2.10142079,1.707454,0.168206759,0.00369339,0.194417861,0.478220386,0.49128828,0.344839584,0.198057653,0.618358253,1.044530432,0.062430066
1.379525955,2.372423183,0.16452399,0.004161688,0.2143631,0.451695193,0.522732454,0.35633842,0.116687688,1.108821797,0.820960793,0.016966787
1.565579647,2.184295514,0.161744577,0.005174013,0.201588005,0.445702883,0.51701589,0.400337174,0.092578875,1.239649286,0.677650524,0.018855829
1.154700527,2.353379663,0.189303009,0.014719232,0.173594272,0.442573546,0.531227847,0.336187795,0.089661365,1.575835022,0.5839901,0.003552195
1.237093529,2.282444834,0.182871236,0.002673708,0.182604005,0.471584324,0.502918852,0.371341783,0.126294836,0.945525211,0.894050648,0.006772671
1.463438652,2.15033403,0.180117186,0.004688342,0.175054336,0.457621121,0.469179301,0.39838664,0.132994395,1.033795866,0.8211019,0.015543648
1.261921811,2.219127542,0.202815316,0.006711256,0.137200346,0.466896941,0.487229805,0.394228934,0.140085233,0.762298078,1.107980353,0.004853713
1.253380119,2.25341146,0.198611538,0.001190153,0.150882284,0.466498634,0.511082153,0.351455089,0.128166801,1.09365679,0.65851084,0.06675671
1.437875598,2.162627744,0.185108771,0.003428971,0.152143203,0.468394415,0.482039618,0.416064359,0.09299295,1.249182314,0.742412404,0.011278073
1.420088278,2.041641888,0.189750057,0.003543307,0.160279725,0.456485902,0.52174192,0.396335164,0.133584704,0.968594742,0.723252446,0.028924482
1.093427444,2.505136069,0.17019751,0.005494251,0.159838219,0.47911385,0.510385186,0.397657576,0.100204264,1.163928372,0.744370834,0.016768264
1.675342896,2.047641649,0.160462818,0.002957886,0.237624311,0.414898878,0.528318152,0.432177516,0.090554743,1.205200126,0.806982425,0.008126046
1.062595998,2.583625941,0.173381229,0.005401346,0.191204731,0.451159071,0.476209102,0.419609784,0.108493552,1.131831273,0.768259789,0.009092558
1.402027643,2.389883702,0.135141995,0.004812071,0.412144542,0.381247719,0.457035599,0.407449121,0.140508595,1.021174624,0.821121204,0.007221078
1.834367598,1.85925667,0.173687794,0.010919034,0.128853798,0.499410529,0.455644774,0.420094495,0.099382814,1.159831007,0.744402361,0.009700627
1.839460497,1.81708558,0.174751546,0.00415085,0.246356627,0.438782156,0.494762544,0.399633519,0.128265064,0.809543211,1.006404256,0.003762801
1.048268298,2.415229122,0.187590894,0.02244399,0.199048732,0.446835084,0.478373694,0.382296218,0.102523135,1.195223225,0.851659684,0.003496959
1.469468343,2.204933863,0.173040522,0.010386179,0.117611495,0.511819133,0.415917173,0.449694798,0.089165318,1.281168087,0.789424312,0.006956615
1.751488488,1.803546677,0.185825589,0.004320595,0.194161754,0.469885713,0.423906335,0.43582878,0.094308552,1.190548378,0.744760999,0.0064114
1.112009668,2.360278497,0.202425563,0.003692762,0.186286841,0.449641466,0.462381125,0.406681375,0.09665608,1.278143912,0.766525035,0.017582576
1.391394905,2.052190682,0.193211421,0.001673229,0.125360181,0.525574443,0.436380429,0.417989864,0.127335894,0.88699595,0.929167596,0.052281045
1.429124572,2.222818045,0.169171928,0.0034649,0.149421683,0.506328667,0.458628036,0.386794726,0.156011299,0.855059031,0.693019309,0.110269759
1.572443285,2.098361702,0.169752581,0.008598739,0.237752363,0.426130045,0.497672904,0.390050284,0.123442414,1.105262728,0.762153767,0.001969538
1.214249781,2.461329912,0.176421883,0.010504042,0.187321154,0.444882482,0.49357977,0.399547509,0.086644171,1.354001424,0.666784446,0.008989894
1.001810175,2.505709804,0.185856822,0.006656026,0.21091681,0.440459245,0.493193243,0.356829535,0.109702815,1.279019056,0.809783881,0.006840186
1.473480381,2.254212744,0.150263242,0.000938951,0.209182068,0.504096831,0.38856206,0.450809527,0.115384316,1.075451656,0.691385172,0.133387727
1.15365447,2.325702448,0.197408175,0.00517077,0.150547338,0.473177581,0.45194627,0.420541141,0.105907241,1.222013399,0.679523702,0.024824027
1.183579766,2.434184726,0.174506166,0.003246213,0.218516113,0.443596119,0.456029129,0.427026627,0.112857096,0.993150925,0.863402176,0.024707242
1.313354046,2.262896826,0.173884274,0.003260993,0.1684203,0.473945225,0.524700003,0.364955368,0.142568303,0.860135567,0.959616961,0.009582255
1.4198814,2.077448304,0.174976124,0.008287456,0.180153785,0.475110068,0.488260243,0.405451693,0.122327077,0.953538712,0.818299305,0.049565476
1.357580632,2.234252692,0.165597386,0.003189018,0.154000331,0.51659228,0.44414555,0.414488175,0.113313534,1.080229997,0.791014522,0.021923819
1.763952449,1.986594978,0.149527255,0.00537498,0.240385773,0.459239135,0.503256781,0.373207572,0.1699439,0.842070476,0.770935962,0.055652008
