"","x"
"132",4.82686071
"133",4.80752278
"134",4.788090365
"135",4.768626455
"136",4.749162545
"137",4.729635645
"138",4.71007725
"139",4.69048736
"140",4.670865975
"141",4.651276085
"142",4.63196965
"143",4.612411255
"144",4.59272688
"145",4.57301101
"146",4.55323215
"147",4.533421795
"148",4.513579945
"149",4.4937066
"150",4.473770265
"151",4.45389692
"152",4.43437002
"153",4.41452817
"154",4.39456034
"155",4.37452952
"156",4.354467205
"157",4.334373395
"158",4.314216595
"159",4.2940283
"160",4.27380851
"161",4.25365171
"162",4.233715375
"163",4.21384203
"164",4.193590745
"165",4.17283554
"166",4.15299369
"167",4.132049515
"168",4.11223916
"169",4.091798905
"170",4.07072875
"171",4.050981385
"172",4.03047814
"173",4.01082526
"174",3.990385005
"175",3.969031395
"176",3.949441505
"177",3.92793042
"178",3.908372025
"179",3.887774295
"180",3.86620022
"181",3.846704815
"182",3.825792135
"183",3.806391215
"184",3.785856475
"185",3.764124925
"186",3.7447555
"187",3.72289797
"188",3.70356004
"189",3.68296231
"190",3.661136275
"191",3.64182984
"192",3.621956495
"193",3.60025644
"194",3.581138975
"195",3.55924995
"196",3.540132485
"197",3.519597745
"198",3.49764573
"199",3.47855976
"200",3.45670223
"201",3.43767925
"202",3.41796338
"203",3.396326315
"204",3.37746081
"205",3.35566627
"206",3.33683226
"207",3.316517985
"208",3.29469195
"209",3.275889435
"210",3.25425237
"211",3.235512845
"212",3.21608043
"213",3.19472682
"214",3.176176265
"215",3.15466518
"216",3.136171316
"217",3.116190888
"218",3.094730195
"219",3.076286723
"220",3.055046495
"221",3.036666013
"222",3.0176650795
"223",2.996780745
"224",2.9785986815
"225",2.9576041145
"226",2.9394755925
"227",2.919958141
"228",2.899064358
"229",2.8810145735
"230",2.860382199
"231",2.8424080025
"232",2.8239456335
"233",2.803722694
"234",2.785965813
"235",2.765664136
"236",2.747970245
"237",2.729035451
"238",2.7088880995
"239",2.6912886935
"240",2.671437395
"241",2.653926175
"242",2.6361094535
"243",2.6167085335
"244",2.5994366755
"245",2.5799853635
"246",2.5627890935
"247",2.54454404
"248",2.5252911465
"249",2.5082082585
"250",2.4892797635
"251",2.4722976595
"252",2.455217921
"253",2.43676815
"254",2.420044305
"255",2.401569338
"256",2.3849368285
"257",2.3674760005
"258",2.3492340965
"259",2.3327370155
"260",2.314838407
"261",2.298454708
"262",2.2821875405
"263",2.264786553
"264",2.24868001
"265",2.231275873
"266",2.2152732635
"267",2.1986753985
"268",2.18153267
"269",2.1656812365
"270",2.1488944015
"271",2.1331720975
"272",2.117780491
"273",2.1015007255
"274",2.0860744745
"275",2.069807307
"276",2.054494438
"277",2.038822526
"278",2.0228325145
"279",2.0076960175
"280",1.9920681985
"281",1.977073429
"282",1.9626014765
"283",1.947480727
"284",1.932791459
"285",1.917699055
"286",1.9031389165
"287",1.8884370505
"288",1.873631251
"289",1.8592663815
"290",1.844819625
"291",1.8306059315
"292",1.817085128
"293",1.8031359925
"294",1.789243548
"295",1.7753322065
"296",1.76157834
"297",1.7478748655
"298",1.734259577
"299",1.720716727
"300",1.7074478835
"301",1.694065658
"302",1.681511751
"303",1.668724781
"304",1.655673253
"305",1.6429335255
"306",1.630030024
"307",1.617337539
"308",1.604890715
"309",1.5922139775
"310",1.5801010005
"311",1.567594336
"312",1.5560073255
"313",1.544351026
"314",1.532175059
"315",1.5205754505
"316",1.508560108
"317",1.496881762
"318",1.485568758
"319",1.4737864785
"320",1.462791574
"321",1.4511856665
"322",1.4405529545
"323",1.429652535
"324",1.419051318
"325",1.4078611445
"326",1.397099303
"327",1.386422498
"328",1.375833879
"329",1.3656956385
"330",1.3549117505
"331",1.34471052
"332",1.33501006
"333",1.325076537
"334",1.3155178045
"335",1.3052441355
"336",1.295458639
"337",1.2857613285
"338",1.276145905
"339",1.2670281025
"340",1.2571701675
"341",1.2479232355
"342",1.239120383
"343",1.230125411
"344",1.2215430235
"345",1.2121890085
"346",1.203348362
"347",1.194592752
"348",1.185919029
"349",1.177755525
"350",1.1688203935
"351",1.160489966
"352",1.152540628
"353",1.144440114
"354",1.136767932
"355",1.1283241225
"356",1.1203873825
"357",1.1125325295
"358",1.104756414
"359",1.09747477
"360",1.089443545
"361",1.0819823795
"362",1.0748456125
"363",1.0675954635
"364",1.0607610485
"365",1.053199099
"366",1.046119023
"367",1.0391176845
"368",1.032191934
"369",1.0257260105
"370",1.018567197
"371",1.011928051
"372",1.005547164
"373",0.999096988
"374",0.993031051
"375",0.9863194665
"376",0.9800456625
"377",0.9738411475
"378",0.9677122205
"379",0.961989579
"380",0.955671682
"381",0.9497978645
"382",0.9441161665
"383",0.938412422
"384",0.932743322
"385",0.9274490125
