No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5
2.423700174,1.060884424,0.154746535,0.125205936,0.071434183,0.447071055,0.468789732,0.306949098,0.158806605
1.467349612,1.557511381,0.182590596,0.077153536,0.16988365,0.36196981,0.495504794,0.331935259,0.194317809
1.616353728,1.494662514,0.181026187,0.082843705,0.048177796,0.472261813,0.439008671,0.286360275,0.235518204
1.698135459,1.630894295,0.162132557,0.055998899,0.065323917,0.484898546,0.463316198,0.287194916,0.162705689
2.069841245,1.267917483,0.179106337,0.073185249,0.049348401,0.477290099,0.456723831,0.262999839,0.216004401
1.201545817,2.031718427,0.129339038,0.156797543,0.056321287,0.467091604,0.427075536,0.319418951,0.129582651
1.311861779,1.882564824,0.154389229,0.108797169,0.070492226,0.412706239,0.523921961,0.284135577,0.214853782
1.432525111,1.846807127,0.148370324,0.06709528,0.173026454,0.402280179,0.447741635,0.324394689,0.197677369
1.609814757,1.712276127,0.151757837,0.12804593,0.060585448,0.425999384,0.446773028,0.318854777,0.222671409
2.032032572,1.341055567,0.151034333,0.137426737,0.073027805,0.442363946,0.405364341,0.305809106,0.239565243
1.044917523,2.075881199,0.166908333,0.088584155,0.073000659,0.411649332,0.543505093,0.299596644,0.1764321
1.575433237,1.668773538,0.161201513,0.119961453,0.128416366,0.341272745,0.540579699,0.32136834,0.188246194
2.084547627,1.247448032,0.175344195,0.063013679,0.054951057,0.474874982,0.463827689,0.308034283,0.185768762
1.303127256,1.648114816,0.175467257,0.09106295,0.131921972,0.407719228,0.451930943,0.339480665,0.181365793
1.742066034,1.525223746,0.155693722,0.097638929,0.093271015,0.421377457,0.469029241,0.307347912,0.155839598
1.369921137,1.722020493,0.169027801,0.078281481,0.049893891,0.48334114,0.415761239,0.311292043,0.199609084
1.472093489,1.701073058,0.146405623,0.113567346,0.093019807,0.416054956,0.511678911,0.336838438,0.145162762
1.88632071,1.370209922,0.136468204,0.188239095,0.141620423,0.404015351,0.385483485,0.355914669,0.162746325
1.332930759,1.756499569,0.154847829,0.118563251,0.224960243,0.367548108,0.427405779,0.345540748,0.135254937
1.651122206,1.424716189,0.189056263,0.070190629,0.020997383,0.461665529,0.498141748,0.295986621,0.247175354
1.724306293,1.329171373,0.196564258,0.100334449,0.03694854,0.478558415,0.458365382,0.280426958,0.224092825
1.462328576,1.658815821,0.160757129,0.113905713,0.072973199,0.372413271,0.630407862,0.296484933,0.122529009
1.306448814,1.793256535,0.147963667,0.094373932,0.374289317,0.241209323,0.666152586,0.271937948,0.166546459
1.792124709,1.508351239,0.17305183,0.073498126,0.039473664,0.453119622,0.506817322,0.325786163,0.182324915
2.211903504,1.214793065,0.146465873,0.145482704,0.100535724,0.415633265,0.465290491,0.267022048,0.224960734
1.900051161,1.403503751,0.154630097,0.080389596,0.045171837,0.484490999,0.461107779,0.34158884,0.150143827
1.871133215,1.418015572,0.173922366,0.051067147,0.181258472,0.364003738,0.550932576,0.275866947,0.181089544
1.969106508,1.4672221,0.122771695,0.1679719,0.187273969,0.367242961,0.431631924,0.354362683,0.174316634
1.705715545,1.521949851,0.17732982,0.061462532,0.192009036,0.316218312,0.629952646,0.240919765,0.258902832
1.478639684,1.805871676,0.146105712,0.14587652,0.033609259,0.469675686,0.464165699,0.27062059,0.216638969
2.011816995,1.309698164,0.157430478,0.13493476,0.026220222,0.471347391,0.498737588,0.284964136,0.182906113
1.942893771,1.284448328,0.184513741,0.055826515,0.152111981,0.390046115,0.492622244,0.275877638,0.214061292
1.217706139,1.990110532,0.147387496,0.100874935,0.037376876,0.439702096,0.626768204,0.233169957,0.217572359
1.61712766,1.618219257,0.147155566,0.122970505,0.2011617,0.353975728,0.47741455,0.346217611,0.129894132
2.224282832,1.207641369,0.16142153,0.079234938,0.044345007,0.507689324,0.40820838,0.2968139,0.218252453
1.473239727,1.865259565,0.11154604,0.131098837,0.099685353,0.477387848,0.423066093,0.335480576,0.135021184
1.949329915,1.367577043,0.146411555,0.154596034,0.149465565,0.339148704,0.580965852,0.236458085,0.200305229
1.331252785,1.793328782,0.169335179,0.066143572,0.05485388,0.47138862,0.469077601,0.329265576,0.087156352
1.535904317,1.738271968,0.149151216,0.202169527,0.017598483,0.375939297,0.576999575,0.292589194,0.198414786
1.689406224,1.599401234,0.148576889,0.101709376,0.03058563,0.501941251,0.476205094,0.253974991,0.2360138
2.033872043,1.278239291,0.139833117,0.13280673,0.140121315,0.380901491,0.544952762,0.310101545,0.14311264
1.485575129,1.728418025,0.148670275,0.070709115,0.174164538,0.401045164,0.460012859,0.277912962,0.236640615
1.50179516,1.70176534,0.148236319,0.143731424,0.096715092,0.411295968,0.488254655,0.318700892,0.167762429
2.006781964,1.31188296,0.173142314,0.060893025,0.090414152,0.477381622,0.395254312,0.309834768,0.192003933
2.113049235,1.382298801,0.124574721,0.113525423,0.062308928,0.514033042,0.397523499,0.337439976,0.175083142
1.425128705,1.719835307,0.159548199,0.057387162,0.16495186,0.34787329,0.593250159,0.331257882,0.124278799
1.781598445,1.477152521,0.158365779,0.068658171,0.052257159,0.524951435,0.404457822,0.304266289,0.194464867
1.906877635,1.369430896,0.171904869,0.075199454,0.056692706,0.454819373,0.502644671,0.282485805,0.159534967
1.757542183,1.465960047,0.155017772,0.113823921,0.082832853,0.423808831,0.456623654,0.326166906,0.128776476
1.896970405,1.386945071,0.158255581,0.06022376,0.07901351,0.491774937,0.388759358,0.326763277,0.194444142
1.690521924,1.748494919,0.121326657,0.115049823,0.090979611,0.442357267,0.484752665,0.282450904,0.182217974
1.730655221,1.583300017,0.146765705,0.137298389,0.041157781,0.456232349,0.478997641,0.29662174,0.133150518
1.390252068,1.715808197,0.16939484,0.066560881,0.040393578,0.512093704,0.435044008,0.31148396,0.152702343
0.892325044,2.429672669,0.136597714,0.059274184,0.124925583,0.486932187,0.41958291,0.312922748,0.113662674
1.798185235,1.469559633,0.149671189,0.111378842,0.041629799,0.457146828,0.51526564,0.322508451,0.117582051
1.454792344,1.758013682,0.13906468,0.07839445,0.060731172,0.510136333,0.434917378,0.304679097,0.165922611
1.719741072,1.519406321,0.148238655,0.150649479,0.024841046,0.461083991,0.474333631,0.324796676,0.153669487
1.370833497,1.726209114,0.166018056,0.112457603,0.098023463,0.420788524,0.431841401,0.344541518,0.169643531
1.801842166,1.416791574,0.172828341,0.084047088,0.037598264,0.486649224,0.403896195,0.342569488,0.203520583
1.495318874,1.509838452,0.192337293,0.022786248,0.014467245,0.552404867,0.410331473,0.350130141,0.147358234
1.795260002,1.431840807,0.174120086,0.077227486,0.088447352,0.426440635,0.502679718,0.242972691,0.274528155
1.707257702,1.519031374,0.136835424,0.109125426,0.270240693,0.353397678,0.496840244,0.289282276,0.135218642
2.320864331,0.97017014,0.195540926,0.05067693,0.121730665,0.427566671,0.461871473,0.299393598,0.196007356
2.075942304,1.253722348,0.162416905,0.062530363,0.034258246,0.500730195,0.452679873,0.355732009,0.170304638
1.891130165,1.302565055,0.176222882,0.093650781,0.071919525,0.450415066,0.479232638,0.296420718,0.166363107
1.019240295,2.104421244,0.159213223,0.081173329,0.130302488,0.405544545,0.492612865,0.294969015,0.177464159
1.87795828,1.515558176,0.150670712,0.063676459,0.23781702,0.346581454,0.529075182,0.304830929,0.190001058
1.682971736,1.619678945,0.14806442,0.106797645,0.085643364,0.440487675,0.44854855,0.312392242,0.192168324
1.82795493,1.345662888,0.166878767,0.180736585,0.065852802,0.345946892,0.567383475,0.306703688,0.195976503
1.664068205,1.590049059,0.163244364,0.077421454,0.090989209,0.447383469,0.433534615,0.298682723,0.191026553
